epoch,accuracy,loss,val_accuracy,val_loss
0,0.1443287581205368,5.882413387298584,0.12566666305065155,4.892852306365967
1,0.19273371994495392,4.67754602432251,0.1679999977350235,4.242954254150391
2,0.22718210518360138,3.8976755142211914,0.15199999511241913,3.912022113800049
3,0.2573105990886688,3.34360933303833,0.1616666615009308,3.542508840560913
4,0.28378379344940186,2.9815309047698975,0.164000004529953,3.399275064468384
5,0.28622063994407654,2.753223180770874,0.16733333468437195,3.227041006088257
6,0.3000664710998535,2.614147186279297,0.14233332872390747,3.374135732650757
7,0.3085954785346985,2.5438320636749268,0.18299999833106995,3.026332378387451
8,0.32111209630966187,2.4695043563842773,0.10233332961797714,3.8401482105255127
9,0.3223305344581604,2.4389753341674805,0.28700000047683716,2.529310703277588
10,0.32454586029052734,2.407363176345825,0.22166666388511658,2.9104764461517334
11,0.3279796242713928,2.3999059200286865,0.16200000047683716,3.3914778232574463
12,0.33794859051704407,2.3779847621917725,0.26366665959358215,2.6830520629882812
13,0.3553389310836792,2.3049542903900146,0.2639999985694885,2.6947710514068604
14,0.3646433353424072,2.2581803798675537,0.25433334708213806,2.8313801288604736
